,"ja","en"
"name","記事リスト","Article list"
"fields.blog_id:label","ブログID","Blog ID"
"fields.description:label","ブログの説明","Description"
"fields.dpp:label","ページあたりの記事件数","Number of articles per page"
"fields.orderby:label","並び順のキー","Sort key"
"fields.scending:label","昇順/降順","Ascending/Descending"
"fields.scending:options.0.label","昇順","Ascending"
"fields.scending:options.1.label","降順","Descending"
"fields.path_feeds:label","RSSフィードの出力先パス","Destination path of RSS feed"
